id,color,title,url,media_id,type_id,year_acquired,year
18426889,939597,Button,https://collection.cooperhewitt.org/objects/18426889/,,35237135,1959,1959
18426549,939597,Button,https://collection.cooperhewitt.org/objects/18426549/,,35237135,1959,1959
18426955,939597,Button,https://collection.cooperhewitt.org/objects/18426955/,35371135,35237135,1959,1959
18439395,939597,"Samples, Gone with the Wind, ca. 1959",https://collection.cooperhewitt.org/objects/18439395/,152252045,35255211,1961,1959
102312177,939597,"Book Cover, On Modern Poets, ca. 1959",https://collection.cooperhewitt.org/objects/102312177/,35431673,35249845,,1959
18467813,F5DF4D,"Sidewall, Penny Candy, 1960-67",https://collection.cooperhewitt.org/objects/18467813/,35421475,35256475,1969,1960
18432109,939597,Print (France),https://collection.cooperhewitt.org/objects/18432109/,35371135,35236873,1960,1960
18431719,939597,"Shaker, early 19th century",https://collection.cooperhewitt.org/objects/18431719/,35411369,35291237,1960,1960
18434131,939597,Ornament,https://collection.cooperhewitt.org/objects/18434131/,35402723,35255209,1960,1960
18680119,939597,"Textile Sample, Miller Wool, 1960",https://collection.cooperhewitt.org/objects/18680119/,404573717,35287899,1969,1960
18429861,939597,"Panel, 18th century",https://collection.cooperhewitt.org/objects/18429861/,35414465,35237229,1960,1960
18633037,939597,"Boy and Girl Figure, 1960-70",https://collection.cooperhewitt.org/objects/18633037/,35418527,35237189,1989,1960
18633075,939597,"Man Playing Baritone Horn Figure, 1960-70",https://collection.cooperhewitt.org/objects/18633075/,35393671,35237189,1989,1960
18633121,939597,"Red Square Plate, 1960-70",https://collection.cooperhewitt.org/objects/18633121/,35432117,35236833,1989,1960
18459631,939597,"Sidewall, Anemone, 1960-66",https://collection.cooperhewitt.org/objects/18459631/,35376447,35256475,1967,1960
18435453,939597,"Textile (France), early 19th century",https://collection.cooperhewitt.org/objects/18435453/,35402927,35251739,1960,1960
18473179,939597,"Sample (USA), 1960-63",https://collection.cooperhewitt.org/objects/18473179/,35397705,35268079,1971,1960
18473175,939597,"Sample (USA), 1960-63",https://collection.cooperhewitt.org/objects/18473175/,35397705,35268079,1971,1960
18459973,939597,"Textile, Chinoiserie, 1960s",https://collection.cooperhewitt.org/objects/18459973/,35421729,35251739,1967,1960
18695419,939597,"Print, 60 Watt Extra Life Bulbs, 1960s",https://collection.cooperhewitt.org/objects/18695419/,51497125,35236873,2002,1960
18644931,939597,"Letterhead, Educational Audio Visual, Inc., Pleasantville, NY, 1960",https://collection.cooperhewitt.org/objects/18644931/,35421153,35238811,1993,1960
18430231,939597,Drawing (Netherlands),https://collection.cooperhewitt.org/objects/18430231/,35371135,35237093,1960,1960
18454995,939597,"Scarf (USA), 1960-65",https://collection.cooperhewitt.org/objects/18454995/,35402827,35251935,1967,1960
18707875,939597,"Textile, Big City, 1960s",https://collection.cooperhewitt.org/objects/18707875/,35402927,35251739,2007,1960
18434455,939597,"Textile (France), ca. 1890",https://collection.cooperhewitt.org/objects/18434455/,35402927,35251739,1960,1960
18473201,939597,"Sample (USA), 1960-63",https://collection.cooperhewitt.org/objects/18473201/,35397707,35268079,1971,1960
18645177,939597,"Book Cover, The Meridian Compact Atlas of the World, 1960",https://collection.cooperhewitt.org/objects/18645177/,35374607,35249845,1993,1960
51689413,939597,"Poster, Medical Gases, General Dynamics, 1960",https://collection.cooperhewitt.org/objects/51689413/,35399021,35238163,2013,1960
18430645,939597,Bookpaper,https://collection.cooperhewitt.org/objects/18430645/,35371135,35284885,1960,1960
18431383,939597,"Scenic - Panel, Chinese Classic",https://collection.cooperhewitt.org/objects/18431383/,35371135,35287557,1960,1960
18689021,939597,"Textile Sample, Flores, 1960",https://collection.cooperhewitt.org/objects/18689021/,35402927,35287899,1969,1960
51689405,939597,"Poster, Canadair forty four air cargo, General Dynamics, ca. 1960",https://collection.cooperhewitt.org/objects/51689405/,35399021,35238163,2013,1960
18473177,939597,"Sample (USA), 1960-63",https://collection.cooperhewitt.org/objects/18473177/,35397705,35268079,1971,1960
18437571,F5DF4D,"Textile, 19th century",https://collection.cooperhewitt.org/objects/18437571/,35402827,35251739,1961,1961
18439007,939597,Greeting Card,https://collection.cooperhewitt.org/objects/18439007/,35371135,35285127,1961,1961
18677725,939597,"Textile, Barber Pole, 1961",https://collection.cooperhewitt.org/objects/18677725/,35402927,35251739,1969,1961
18644945,939597,"Book Cover, The Federalist, 1961",https://collection.cooperhewitt.org/objects/18644945/,35419317,35249845,1993,1961
18440611,939597,Textile (England),https://collection.cooperhewitt.org/objects/18440611/,117141,35251739,1961,1961
18446279,939597,"Print, The Couple, 1961",https://collection.cooperhewitt.org/objects/18446279/,35461275,35236873,1963,1961
18638163,939597,"Textile (France), 1961-62",https://collection.cooperhewitt.org/objects/18638163/,35394285,35251739,1991,1961
18438975,939597,Greeting Card,https://collection.cooperhewitt.org/objects/18438975/,35371135,35285127,1961,1961
18439031,939597,Greeting Card,https://collection.cooperhewitt.org/objects/18439031/,35371135,35285127,1961,1961
18436103,939597,Ribbon (USA),https://collection.cooperhewitt.org/objects/18436103/,35371135,35254847,1961,1961
